maid,latitude,longitude,timestamp,flux
/RMJ6wxaH/X78bcmfHZCf6dU0FgImgVSi4F+D8+z49tjn4MTGHO1Qpsl4zhe6I/b,49.130088806152344,-122.85999298095703,2025-08-01 19:29:57+07:00,B
/RMJ6wxaH/X78bcmfHZCf6dU0FgImgVSi4F+D8+z49tjn4MTGHO1Qpsl4zhe6I/b,49.13003158569336,-122.86033630371094,2025-08-01 19:30:15+07:00,B
/RMJ6wxaH/X78bcmfHZCf6dU0FgImgVSi4F+D8+z49tjn4MTGHO1Qpsl4zhe6I/b,49.13008117675781,-122.8603286743164,2025-08-01 19:30:28+07:00,B
/RMJ6wxaH/X78bcmfHZCf6dU0FgImgVSi4F+D8+z49tjn4MTGHO1Qpsl4zhe6I/b,49.13002014160156,-122.86036682128906,2025-08-01 19:30:28+07:00,B
/RMJ6wxaH/X78bcmfHZCf6dU0FgImgVSi4F+D8+z49tjn4MTGHO1Qpsl4zhe6I/b,49.13005065917969,-122.86000061035156,2025-08-01 19:30:29+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.00216007232666,-38.51655960083008,2025-07-30 03:39:46+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001655578613281,-38.515560150146484,2025-07-31 10:59:14+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001667976379395,-38.51553726196289,2025-07-31 22:46:53+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001611709594727,-38.51553726196289,2025-07-31 22:52:26+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001617431640625,-38.515506744384766,2025-07-31 22:58:11+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001686096191406,-38.51553726196289,2025-07-31 22:59:37+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001627922058105,-38.5155143737793,2025-07-31 23:04:10+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.00161361694336,-38.51555252075195,2025-07-31 23:14:10+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001633644104004,-38.515586853027344,2025-07-31 23:20:10+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.00163745880127,-38.5155143737793,2025-07-31 23:26:10+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001626968383789,-38.51555633544922,2025-07-31 23:31:49+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001667976379395,-38.51555252075195,2025-07-31 23:37:31+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.001642227172852,-38.515560150146484,2025-07-31 23:43:30+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-12.999281883239746,-38.51738357543945,2025-07-31 23:51:51+07:00,B
/Uk8WjdhP2tqzw40BkAp7IR2ZH/yHWWQ0lyQCYhkqfr6m9hH8EYSbAnmlsAjvcIo,-13.00177001953125,-38.51542663574219,2025-07-31 23:57:41+07:00,B
