maid,timestamp,latitude,longitude,flux,geohash
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:00:34+07:00,32.86305236816406,-6.5725274085998535,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:24:53+07:00,32.86302947998047,-6.572593688964844,B,evg6fqt
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-02 02:31:58+07:00,32.86155319213867,-6.573960781097412,B,evg6fqk
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 17:56:40+07:00,32.86328125,-6.570850849151611,B,evg6fqx
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:24:47+07:00,32.86302947998047,-6.572544574737549,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:02:15+07:00,32.863014221191406,-6.572513580322266,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:24:46+07:00,32.86302947998047,-6.572544574737549,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 21:14:13+07:00,32.86403274536133,-6.570250511169434,B,evg6fqx
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 17:56:36+07:00,32.86327362060547,-6.570802688598633,B,evg6fqx
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:02:21+07:00,32.863014221191406,-6.572521209716797,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:24:51+07:00,32.86302947998047,-6.572593688964844,B,evg6fqt
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:02:26+07:00,32.86300277709961,-6.5725321769714355,B,evg6fqw
HEHyPZs7dFuBcXKOwwOhyBLf6QY/CvxYFqleS/MfxpXeVA2+cm+hGwmb6O4XJyvl,2025-08-01 18:00:30+07:00,32.86304473876953,-6.572558403015137,B,evg6fqw
