maid,geohash,timestamp,latitude,longitude,flux
++1TxI62aHPiUk7txktnoGVAmLbn8eja+sdW5GW17Mie3B/g0n78C8LBDA9/YTQ7,f25ehbq,2025-07-30 00:23:35+00:00,45.52996063232422,-73.61016082763672,B
++1TxI62aHPiUk7txktnoGVAmLbn8eja+sdW5GW17Mie3B/g0n78C8LBDA9/YTQ7,f25ehbq,2025-07-30 00:23:40+00:00,45.52996826171875,-73.61007690429688,B
++1TxI62aHPiUk7txktnoGVAmLbn8eja+sdW5GW17Mie3B/g0n78C8LBDA9/YTQ7,f25ehbq,2025-07-30 00:24:21+00:00,45.52989959716797,-73.61007690429688,B
++1TxI62aHPiUk7txktnoGVAmLbn8eja+sdW5GW17Mie3B/g0n78C8LBDA9/YTQ7,f25ehbq,2025-07-30 00:28:56+00:00,45.52996063232422,-73.61015319824219,B
++mzynCtps5tM7pF3KW/Hl8LxgblJLSYO4DrFrrKISDmVQ3PDmOAL2bHFQJfbpXL,r3gx0mj,2025-07-29 19:57:03+00:00,-33.8978385925293,151.18992614746094,B
++wSdFvhlCu05SdBJD2QnRfNTYST6qV6AZ29opDO7/Mbd2MtwLDqYeffBN/ZexbQ,u1hghnj,2025-08-02 14:32:23+00:00,51.1864013671875,6.862400054931641,B
+/APim15UOWvgtffghaYrLOfAxq7Qrn1fpzX4BuClfdcHg966gioSn57jb6r0ftH,f2m4q76,2025-07-29 14:37:03+00:00,46.81990051269531,-71.4400634765625,B
+/APim15UOWvgtffghaYrLOfAxq7Qrn1fpzX4BuClfdcHg966gioSn57jb6r0ftH,f2m4qku,2025-08-02 21:15:19+00:00,46.82899856567383,-71.43830108642578,B
+/TXJMwUSk8Si/m+z+dW508znt8s1xKhE4iOF847faD2haZAlK8F3YIwL2nNSIau,u1j5dk8,2025-07-31 10:42:51+00:00,51.265201568603516,7.130300045013428,B
+/kGjz77iMKUl5SSSPDTeDQIGNbTNY4K4qWLLu6AQlqUJdxrzoNPYkpMXQyGv3vJ,r7hgdr0,2025-07-31 02:04:13+00:00,-27.471200942993164,153.02891540527344,B
+/kGjz77iMKUl5SSSPDTeDQIGNbTNY4K4qWLLu6AQlqUJdxrzoNPYkpMXQyGv3vJ,r7hgdpn,2025-07-31 02:33:43+00:00,-27.47080421447754,153.0267333984375,B
+/kGjz77iMKUl5SSSPDTeDQIGNbTNY4K4qWLLu6AQlqUJdxrzoNPYkpMXQyGv3vJ,r7hv2x7,2025-07-31 08:15:04+00:00,-27.16212272644043,152.95693969726562,B
+/kGjz77iMKUl5SSSPDTeDQIGNbTNY4K4qWLLu6AQlqUJdxrzoNPYkpMXQyGv3vJ,r7htrvq,2025-07-31 11:20:00+00:00,-27.17203140258789,152.9273681640625,B
+/kGjz77iMKUl5SSSPDTeDQIGNbTNY4K4qWLLu6AQlqUJdxrzoNPYkpMXQyGv3vJ,r7hgdqb,2025-07-31 22:43:56+00:00,-27.471330642700195,153.0288543701172,B
+0+ziG5ataDuy1uTw0STXVPwY6eQZrg0E50MQ6yMCt3xdskoZBY2srTMOLF+rD3e,f25dtmt,2025-07-29 11:11:56+00:00,45.470001220703125,-73.58991241455078,B
+0+ziG5ataDuy1uTw0STXVPwY6eQZrg0E50MQ6yMCt3xdskoZBY2srTMOLF+rD3e,f25dtmt,2025-07-29 11:52:41+00:00,45.47031021118164,-73.58985137939453,B
+0+ziG5ataDuy1uTw0STXVPwY6eQZrg0E50MQ6yMCt3xdskoZBY2srTMOLF+rD3e,f25dvkq,2025-07-29 15:04:58+00:00,45.507530212402344,-73.5887222290039,B
+0Pa/SElGaXPmQvPGd0+Z9giV97zM1Z5aaxKq7tZNdcLmDt4FyIqLBsq89SqZ+E+,u1q6dv5,2025-07-31 07:35:50+00:00,52.49850082397461,8.91409969329834,B
+0Pa/SElGaXPmQvPGd0+Z9giV97zM1Z5aaxKq7tZNdcLmDt4FyIqLBsq89SqZ+E+,u1q6y2k,2025-07-31 13:10:09+00:00,52.516300201416016,9.07040023803711,B
+0Pa/SElGaXPmQvPGd0+Z9giV97zM1Z5aaxKq7tZNdcLmDt4FyIqLBsq89SqZ+E+,u1hg6rz,2025-07-31 13:31:55+00:00,51.23970031738281,6.788300037384033,B
+0Pa/SElGaXPmQvPGd0+Z9giV97zM1Z5aaxKq7tZNdcLmDt4FyIqLBsq89SqZ+E+,u1q6y2k,2025-08-02 10:36:14+00:00,52.516300201416016,9.07040023803711,B
+0euFfYfm7RQFOzohORlBnzP74NVofMnUw0WHLaZBPG7/9rQacY2nxWzYPxVMXCi,u283b8m,2025-07-31 08:48:18+00:00,48.122581481933594,11.631656646728516,B
+2TiMl2JkTqTNCl079fIzGl9HSRIQzskaaV3uTPXlkoXaSRl4whtMAdmbSj7I0Nu,u02y01h,2025-07-31 00:03:25+00:00,47.46717834472656,1.0604283809661865,B
+2TiMl2JkTqTNCl079fIzGl9HSRIQzskaaV3uTPXlkoXaSRl4whtMAdmbSj7I0Nu,u02y01h,2025-07-31 00:05:49+00:00,47.467262268066406,1.0602360963821411,B
+2TiMl2JkTqTNCl079fIzGl9HSRIQzskaaV3uTPXlkoXaSRl4whtMAdmbSj7I0Nu,u02y01h,2025-07-31 00:14:36+00:00,47.46710968017578,1.0605366230010986,B
+2TiMl2JkTqTNCl079fIzGl9HSRIQzskaaV3uTPXlkoXaSRl4whtMAdmbSj7I0Nu,u02y01h,2025-07-31 00:33:01+00:00,47.467185974121094,1.0603750944137573,B
